ente;pubblicazioni ritirate anno pubblicazione 2000-2024;pubblicazioni 2000-2024 (lens.org);% di papaer ritirati
Università di Salerno;9;179;0.050279
Università di Milano-Bicocca;28;2478;0.011299
Università di Pavia;32;3993;0.008014
Università dell'Aquila;54;11807;0.004574
Università dell'Insubria di Varese;4;944;0.004237
Seconda Università di Napoli;29;8608;0.003369
Università di Chieti-Pescara;22;8767;0.002509
Università di Messina;48;19166;0.002504
Università di Palermo;42;24554;0.001711
Università Federico II di Napoli;91;58538;0.001555
Università Cattolica di Roma;31;20771;0.001492
Università di Perugia;34;24814;0.001370
Università di Catania;34;25173;0.001351
Universita Campus Bio-Medico di Roma;8;7062;0.001133
Università di Foggia;8;7238;0.001105
Università di Sassari;1;1028;0.000973
IRCCS Ca' Granda Milano;10;11134;0.000898
Politecnico di Torino;17;19417;0.000876
Università di Ferrara;15;18778;0.000799
Università del Piemonte Orientale di Novara;6;7786;0.000771
Università di Trieste;15;19875;0.000755
Università di Modena;12;16781;0.000715
Università di Roma Tor Vergata;27;39702;0.000680
Politecnico di Milano;27;41782;0.000646
Università di Verona;13;21735;0.000598
IRCCS Mario Negri Milano;4;6783;0.000590
IRCCS San Raffaele Milano;10;17221;0.000581
Università di Milano;65;114284;0.000569
Università di Roma La Sapienza;66;116418;0.000567
Università di Parma;11;19906;0.000553
Università Politecnica delle Marche;6;11244;0.000534
Università di Bologna;44;89918;0.000489
Università di Brescia;8;16513;0.000484
Università del Salento;3;6425;0.000467
Università di Torino;29;63816;0.000454
Università di Cagliari;8;17624;0.000454
Università di Bari;17;37798;0.000450
CNR;48;116115;0.000413
Università di Padova;36;91640;0.000393
Università di Genova;15;39291;0.000382
Università di Siena;7;21112;0.000332
Università di Udine;4;12914;0.000310
Università di Pisa;17;54977;0.000309
Università di Roma Tre;3;10242;0.000293
Università di Venezia;2;7771;0.000257
Università di Firenze;16;63548;0.000252
Università di Trento;4;17989;0.000222
